Country.Code,Country Name,Year,DEMOC,AUTOC,POLITY,POLITY2
DEN,Denmark,1809,0,10,-10,-10
DEN,Denmark,1810,0,10,-10,-10
DEN,Denmark,1811,0,10,-10,-10
DEN,Denmark,1812,0,10,-10,-10
DEN,Denmark,1813,0,10,-10,-10
DEN,Denmark,1814,0,10,-10,-10
DEN,Denmark,1815,0,10,-10,-10
DEN,Denmark,1816,0,10,-10,-10
DEN,Denmark,1817,0,10,-10,-10
DEN,Denmark,1818,0,10,-10,-10
DEN,Denmark,1819,0,10,-10,-10
DEN,Denmark,1820,0,10,-10,-10
DEN,Denmark,1821,0,10,-10,-10
DEN,Denmark,1822,0,10,-10,-10
DEN,Denmark,1823,0,10,-10,-10
DEN,Denmark,1824,0,10,-10,-10
DEN,Denmark,1825,0,10,-10,-10
DEN,Denmark,1826,0,10,-10,-10
DEN,Denmark,1827,0,10,-10,-10
DEN,Denmark,1828,0,10,-10,-10
DEN,Denmark,1829,0,10,-10,-10
DEN,Denmark,1830,0,10,-10,-10
DEN,Denmark,1831,0,10,-10,-10
DEN,Denmark,1832,0,10,-10,-10
DEN,Denmark,1833,0,10,-10,-10
DEN,Denmark,1834,0,9,-9,-9
DEN,Denmark,1835,0,9,-9,-9
DEN,Denmark,1836,0,9,-9,-9
DEN,Denmark,1837,0,9,-9,-9
DEN,Denmark,1838,0,9,-9,-9
DEN,Denmark,1839,0,9,-9,-9
DEN,Denmark,1840,0,9,-9,-9
DEN,Denmark,1841,0,9,-9,-9
DEN,Denmark,1842,0,9,-9,-9
DEN,Denmark,1843,0,9,-9,-9
DEN,Denmark,1844,0,9,-9,-9
DEN,Denmark,1845,0,9,-9,-9
DEN,Denmark,1846,0,9,-9,-9
DEN,Denmark,1847,0,9,-9,-9
DEN,Denmark,1848,0,9,-9,-9
DEN,Denmark,1849,5,3,2,2
DEN,Denmark,1850,5,3,2,2
DEN,Denmark,1851,5,3,2,2
DEN,Denmark,1852,5,3,2,2
DEN,Denmark,1853,5,3,2,2
DEN,Denmark,1854,5,3,2,2
DEN,Denmark,1855,5,3,2,2
DEN,Denmark,1856,5,3,2,2
DEN,Denmark,1857,5,3,2,2
DEN,Denmark,1858,5,3,2,2
DEN,Denmark,1859,5,3,2,2
DEN,Denmark,1860,5,3,2,2
DEN,Denmark,1861,5,3,2,2
DEN,Denmark,1862,5,3,2,2
DEN,Denmark,1863,5,3,2,2
DEN,Denmark,1864,5,3,2,2
DEN,Denmark,1865,5,3,2,2
DEN,Denmark,1866,3,4,-1,-1
